Ep: 13, steps: 11, D loss: 0.338506, acc:  33%, G loss: 3.872839
Ep: 13, steps: 12, D loss: 0.250937, acc:  59%, G loss: 3.516258
Ep: 13, steps: 13, D loss: 0.317409, acc:  29%, G loss: 3.030361
Ep: 13, steps: 14, D loss: 0.257705, acc:  49%, G loss: 2.637240
Ep: 13, steps: 15, D loss: 0.281558, acc:  45%, G loss: 2.511334
Ep: 13, steps: 16, D loss: 0.226409, acc:  62%, G loss: 2.315022
Ep: 13, steps: 17, D loss: 0.258591, acc:  53%, G loss: 2.221072
Ep: 13, steps: 18, D loss: 0.186940, acc:  75%, G loss: 2.788152
Ep: 13, steps: 19, D loss: 0.241474, acc:  55%, G loss: 2.393405
Ep: 13, steps: 20, D loss: 0.269072, acc:  43%, G loss: 3.067578
Ep: 14, steps: 1, D loss: 0.206416, acc:  64%, G loss: 2.746571
Ep: 14, steps: 2, D loss: 0.160283, acc:  84%, G loss: 3.318512
Ep: 14, steps: 3, D loss: 0.283334, acc:  37%, G loss: 3.316578
Ep: 14, steps: 4, D loss: 0.215928, acc:  72%, G loss: 3.412898
Ep: 14, steps: 5, D loss: 0.355396, acc:  19%, G loss: 2.916745
Ep: 14, steps: 6, D loss: 0.277461, acc:  45%, G loss: 2.833982
Ep: 14, steps: 7, D loss: 0.226498, acc:  69%, G loss: 2.837811
Ep: 14, steps: 8, D loss: 0.233956, acc:  56%, G loss: 2.614954
Ep: 14, steps: 9, D loss: 0.279861, acc:  52%, G loss: 3.636383
Ep: 14, steps: 10, D loss: 0.246528, acc:  53%, G loss: 3.503901
Ep: 14, steps: 11, D loss: 0.256763, acc:  56%, G loss: 3.336720
Ep: 14, steps: 12, D loss: 0.302584, acc:  36%, G loss: 2.855031
Ep: 14, steps: 13, D loss: 0.238659, acc:  59%, G loss: 2.453981
Ep: 14, steps: 14, D loss: 0.292582, acc:  48%, G loss: 2.655737
Ep: 14, steps: 15, D loss: 0.246181, acc:  52%, G loss: 2.698395
Ep: 14, steps: 16, D loss: 0.290881, acc:  47%, G loss: 2.455395
Ep: 14, steps: 17, D loss: 0.193623, acc:  76%, G loss: 2.855000
Ep: 14, steps: 18, D loss: 0.262982, acc:  51%, G loss: 2.366497
Ep: 14, steps: 19, D loss: 0.335835, acc:  28%, G loss: 2.943393
Ep: 15, steps: 1, D loss: 0.219218, acc:  59%, G loss: 2.835574
Ep: 15, steps: 2, D loss: 0.253239, acc:  53%, G loss: 2.867641
Ep: 15, steps: 3, D loss: 0.145206, acc:  88%, G loss: 3.396141
Ep: 15, steps: 4, D loss: 0.275096, acc:  45%, G loss: 3.162214
Ep: 15, steps: 5, D loss: 0.220597, acc:  68%, G loss: 3.082251
Ep: 15, steps: 6, D loss: 0.381692, acc:  18%, G loss: 3.609118
Ep: 15, steps: 7, D loss: 0.271248, acc:  45%, G loss: 3.081682
Ep: 15, steps: 8, D loss: 0.279606, acc:  62%, G loss: 3.182724
Ep: 15, steps: 9, D loss: 0.237438, acc:  54%, G loss: 2.411762
Ep: 15, steps: 10, D loss: 0.267623, acc:  51%, G loss: 3.239755
Ep: 15, steps: 11, D loss: 0.276195, acc:  40%, G loss: 3.442443
Ep: 15, steps: 12, D loss: 0.240467, acc:  61%, G loss: 3.118333
Ep: 15, steps: 13, D loss: 0.294133, acc:  31%, G loss: 2.759024
Ep: 15, steps: 14, D loss: 0.247771, acc:  54%, G loss: 2.324621
Ep: 15, steps: 15, D loss: 0.285757, acc:  44%, G loss: 2.440686
Ep: 15, steps: 16, D loss: 0.213495, acc:  64%, G loss: 2.234350
Ep: 15, steps: 17, D loss: 0.256006, acc:  53%, G loss: 2.207990
Ep: 15, steps: 18, D loss: 0.184553, acc:  80%, G loss: 2.753357
Ep: 15, steps: 19, D loss: 0.227721, acc:  57%, G loss: 2.357734
Ep: 15, steps: 20, D loss: 0.268666, acc:  40%, G loss: 3.271469
Ep: 16, steps: 1, D loss: 0.196095, acc:  67%, G loss: 2.791093
Ep: 16, steps: 2, D loss: 0.250505, acc:  52%, G loss: 2.645779
Ep: 16, steps: 3, D loss: 0.158179, acc:  87%, G loss: 3.204046
Ep: 16, steps: 4, D loss: 0.264079, acc:  48%, G loss: 3.112370
Ep: 16, steps: 5, D loss: 0.241188, acc:  62%, G loss: 3.273427
Ep: 16, steps: 6, D loss: 0.336222, acc:  23%, G loss: 3.266409
Ep: 16, steps: 7, D loss: 0.253727, acc:  50%, G loss: 3.018306
Ep: 16, steps: 8, D loss: 0.212529, acc:  71%, G loss: 2.917341
Ep: 16, steps: 9, D loss: 0.281643, acc:  46%, G loss: 2.419811
Ep: 16, steps: 10, D loss: 0.325281, acc:  50%, G loss: 4.075046
Ep: 16, steps: 11, D loss: 0.315740, acc:  37%, G loss: 3.797974
Ep: 16, steps: 12, D loss: 0.260128, acc:  56%, G loss: 3.290805
Ep: 16, steps: 13, D loss: 0.330247, acc:  26%, G loss: 2.666459
Ep: 16, steps: 14, D loss: 0.264241, acc:  46%, G loss: 2.608466
Ep: 16, steps: 15, D loss: 0.283299, acc:  42%, G loss: 2.384879
Ep: 16, steps: 16, D loss: 0.225250, acc:  61%, G loss: 2.239007
Ep: 16, steps: 17, D loss: 0.262322, acc:  51%, G loss: 2.121940
Ep: 16, steps: 18, D loss: 0.185245, acc:  79%, G loss: 2.623521
Ep: 16, steps: 19, D loss: 0.240225, acc:  56%, G loss: 2.499346
Ep: 16, steps: 20, D loss: 0.285318, acc:  36%, G loss: 2.880373
Ep: 17, steps: 1, D loss: 0.215370, acc:  60%, G loss: 2.594590
Ep: 17, steps: 2, D loss: 0.243179, acc:  56%, G loss: 2.745397
Ep: 17, steps: 3, D loss: 0.166821, acc:  85%, G loss: 3.179197
